CDoT Plate No.,*.1 Barcode_Well address,Unnamed: 2,Hit rate,pert_iname,pert_iname.1,concentration_mM,vendor,catalog_no,smiles,InChIKey,pubchem_cid,clinical_phase,moa,target,disease_area,indication,DMPNN_prediction,max_tanimoto_active,MAIP_pred_score,max_topological_tanimoto,Unnamed: 0,Unnamed: 3,*.1 value,*.2 value,average,duplicate range (% of dyn range),Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,average.1,ISNUMBER
19,BR00130947K18,BRD-K51329597-001-02-9,85.06966117,-AZM 475271.00,-AZM 475271.00,10.0,Tocris,3963,COc1ccc(Cl)c(Nc2ncnc3cc(OCC4CCN(C)CC4)c(OC)cc23)c1,WPOXAFXHRJYEIC-UHFFFAOYSA-N,5330175.0,Preclinical,SRC inhibitor,SRC,,,1.0,0.458333333,75.35483659,0.768537074,,,,,,,,,,,,,,,
11,BR00130917J06,BRD-K17705806-003-03-6,100.3037742,JTC-801,JTC-801,10.0,Selleck,S2722,CCc1ccc(OCc2ccccc2C(=O)Nc2ccc3nc(C)cc(N)c3c2)cc1,VTGBZWHPJFMTKS-UHFFFAOYSA-N,5311340.0,Phase 2,opioid receptor antagonist,OPRL1,,,1.0,0.538461538,42.50193796,0.706559264,,,,,,,,,,,,,,,
12,BR00130916N19,BRD-K57169635-001-05-9,94.28830572,dacomitinib,dacomitinib,10.0,Tocris,6231,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN1CCCCC1,LVXJQMNHJWSHET-AATRIKPKSA-N,11511120.0,Launched,EGFR inhibitor,EGFR|ERBB2|ERBB4,,,1.0,0.393617021,80.51496079,0.615859031,,,,,,,,,,,,,,,
20,BR00130945P03,BRD-K73799155-001-01-5,97.79277725,NSC-5844,NSC-5844,10.000048,MedChemEx,HY-100033,Clc1ccc2c(NCCNc3ccnc4cc(Cl)ccc34)ccnc2c1,SSXYXSMMVMVYEV-UHFFFAOYSA-N,221354.0,Preclinical,CC chemokine receptor agonist,CCR1,,,1.0,0.966666667,52.32449729,1.0,,,,,,,,,,,,,,,
14,BR00130957L17,BRD-K26122255-001-01-7,94.7881427,VLX600,VLX600,10.0,Enamine,EN300-395210,CC(=NNc1nnc2c(n1)[nH]c1c(C)cccc21)c1ccccn1,UQOSBPRTQFFUOA-UHFFFAOYSA-N,6806409.0,Phase 1,antitumor agent|ubiquitin C-terminal hydrolase inhibitor,TP53|USP14,,,1.0,0.385964912,14.55888029,0.730836237,,,,,,,,,,,,,,,
22,BR00130941I05,BRD-K79930101-300-05-9,91.89232888,GW-583340,GW-583340,10.0,Tocris,2239,CS(=O)(=O)CCNCc1nc(cs1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,MNNXRVSQOABRRP-UHFFFAOYSA-N,5329480.0,Preclinical,EGFR inhibitor,EGFR|ERBB2,,,1.0,0.612903226,94.10329341,0.686925795,,,,,,,,,,,,,,,
3,BR00130933C11,BRD-A99117172-065-05-7,98.87440673,hydroxychloroquine,hydroxychloroquine,10.37924438,Sigma,MFCD00078203,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,XXSMGPRMXLTPCZ-UHFFFAOYSA-N,12947.0,Launched,antimalarial agent,TLR7|TLR9,infectious disease,malaria,1.0,0.86,75.87558711,0.974264706,,,,,,,,,,,,,,,
2,BR00130935I05,BRD-A91699651-316-11-7,99.40732008,chloroquine,chloroquine,10.26245132,Selleck,S4157,CCN(CC)CCC[C@@H](C)Nc1ccnc2cc(Cl)ccc12 |&1:8|,WHTVZRBIWZFKQO-CQSZACIVSA-N,444810.0,Launched,antimalarial agent,MRGPRX1,infectious disease,malaria|amebiasis,1.0,1.0,70.48471983,1.0,,,,,,,,,,,,,,,
5,BR00130929E13,BRD-K13514097-001-09-9,93.64505546,everolimus,everolimus,10.0,Tocris,6188,"CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1OCCO |c:14,33,t:29,31|",HKVAMNSJSFKALM-FLOWVUKKSA-N,,Launched,mTOR inhibitor,MTOR,oncology|neurology/psychiatry|genetics|urology,breast cancer|neuroendocrine tumors of pancreatic origin (PNET)|renal cell carcinoma (RCC)|subependymal giant cell astrocytoma (SEGA)|tuberous sclerosis complex (TSC)|renal angiomyolipoma,1.0,0.201298701,123.3205267,0.563033651,,,,,,,,,,,,,,,
16,BR00130953K17,BRD-K78809024-001-03-2,99.33893437,SB-590885,SB-590885,10.0,Selleck,SB590885,CN(C)CCOc1ccc(cc1)-c1nc(c([nH]1)-c1ccc2\C(CCc2c1)=N\O)-c1ccncc1,MLSAQOINCGAULQ-QFMPWRQOSA-N,135421339.0,Preclinical,RAF inhibitor,BRAF,,,1.0,0.657142857,71.103641,0.752293578,,,,,,,,,,,,,,,
