resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations
0,8GLP,mRNA decoding in human is kinetically and structurally distinct from bacteria (Consensus LSU focused refined structure),ELECTRON MICROSCOPY,ZN|K|SPD|3H3|MET|ANM|PUT|MG|TRS,"",85325327|3777159|1102|813|32051|888|253602|1045|6137,P18621|P32969|P27635|P40429|P39019|P42677|P62979|P36578|P62241|P84098|Q9Y3U8|P61927|P61247|P62861|P46776|P18077|P62753|P62847|P62857|P47914|P62269|P62081|P42766|P62891|P62277|P62279|P62829|P62945|P62244|P08708|P62910|Q02543|Q07020|P62701|P62913|P46781|P61513|P62263|P61313|P15880|P25398|P61353|P46783|Q02878|P63220|P46778|P35268|P60866|P62280|P63244|P83731|P62273|P08865|P23396|P46779|P62424|P46782|P26373|P62750|P62854|P62890|P62888|P62851|P18124|P49207|P62899|P63173|P46777|P62249|P62841|P61254|P50914|P39023,6139|6133|6134|23521|6223|6232|6233|6124|6202|6143|25873|6167|6189|2197|6157|6165|6194|6229|6234|6159|6222|6201|11224|6170|6207|9349|6171|6210|6218|6161|6142|6141|6191|6135|6203|6168|6208|6138|6187|6206|6155|6204|6128|6227|6144|6146|6224|6205|10399|6152|6235|3921|6188|6158|6130|6193|6137|6147|6231|6156|6230|6129|6164|6160|6169|6125|6217|6209|6154|9045|6122,37020024,10.1038/s41586-023-05908-w,PMC10156603,35776674,"Holm M, Natchiar KS, Rundlet EJ, Myasnikov AG, Altman RB, Blanchard SC. mRNA decoding in human is kinetically and structurally distinct from bacteria (GA state 2). 2023 Apr 19;(). doi: 10.2210/pdb8g6j/pdb."
0,8G5Y,mRNA decoding in human is kinetically and structurally distinct from bacteria (IC state),ELECTRON MICROSCOPY,ZN|K|SPD|3H3|MET|ANM|PUT|MG,"",85325327|1102|813|32051|888|253602|1045|6137,P18621|P32969|P27635|P40429|P39019|P42677|P62979|P36578|P62241|P84098|Q9Y3U8|P61927|P61247|P62861|P46776|P18077|P62753|P62847|P62857|P47914|P62269|P62081|P42766|P62891|P62277|P62279|P62829|P62945|P62244|P08708|P62910|Q02543|Q07020|P62701|P62913|P46781|P61513|P62263|P62906|P61313|P15880|P25398|P61353|P46783|Q02878|P63220|P46778|P35268|P60866|P62280|P63244|P83731|P62273|P08865|P23396|P46779|P62424|P46782|P26373|P62750|P62854|P62890|P62888|P62851|P18124|P49207|P62899|P63173|P46777|P62249|P62841|P61254|P50914|P39023,6139|6133|6134|23521|6223|6232|6233|6124|6202|6143|25873|6167|6189|2197|6157|6165|6194|6229|6234|6159|6222|6201|11224|6170|6207|9349|6171|6210|6218|6161|6142|6141|6191|6135|6203|6168|6208|4736|6138|6187|6206|6155|6204|6128|6227|6144|6146|6224|6205|10399|6152|6235|3921|6188|6158|6130|6193|6137|6147|6231|6156|6230|6129|6164|6160|6169|6125|6217|6209|6154|9045|6122,37020024,10.1038/s41586-023-05908-w,PMC10156603,35776674,"Holm M, Natchiar KS, Rundlet EJ, Myasnikov AG, Altman RB, Blanchard SC. mRNA decoding in human is kinetically and structurally distinct from bacteria (GA state 2). 2023 Apr 19;(). doi: 10.2210/pdb8g6j/pdb."
0,8G5Z,mRNA decoding in human is kinetically and structurally distinct from bacteria (GA state),ELECTRON MICROSCOPY,ZIY|ZN|K|SPD|3H3|PHE|MET|ANM|PUT|MG|GSP,"",85325327|1102|135398675|813|32051|888|253602|1045|6140|6137|9812534,P18621|P32969|P27635|P40429|P39019|P36578|P62241|P84098|Q9Y3U8|P61927|P61247|P62861|P46776|P18077|P62753|P62847|P62857|P62081|P42766|P62891|P62277|P62279|P62829|P62945|P62244|P08708|P62910|Q02543|Q07020|P62913|P05388|P46781|P61513|P61313|P15880|P61353|P63220|P46778|P35268|P63244|P62273|P08865|P23396|P46779|P30050|P46782|P26373|P62424|P62854|P62890|P62888|P18124|P49207|P62899|P63173|P46777|P68105|P61254|P50914|P39023,6139|6133|6134|23521|6223|6124|6202|6143|25873|6167|6189|2197|6157|6165|6194|6229|6234|6201|11224|6170|6207|9349|6171|6210|6218|6161|6142|6141|6135|6175|6203|6168|6138|6187|6155|6227|6144|6146|10399|6235|3921|6188|6158|6136|6193|6137|6130|6231|6156|6129|6164|6160|6169|6125|100009189|6154|9045|6122,37020024,10.1038/s41586-023-05908-w,PMC10156603,35776674,"Holm M, Natchiar KS, Rundlet EJ, Myasnikov AG, Altman RB, Blanchard SC. mRNA decoding in human is kinetically and structurally distinct from bacteria (GA state 2). 2023 Apr 19;(). doi: 10.2210/pdb8g6j/pdb."
0,8G60,mRNA decoding in human is kinetically and structurally distinct from bacteria (CR state),ELECTRON MICROSCOPY,ZIY|ZN|K|SPD|3H3|PHE|MET|ANM|PUT|MG|GSP,"",85325327|1102|135398675|813|32051|888|253602|1045|6140|6137|9812534,P18621|P32969|P27635|P40429|P39019|P42677|P62979|P36578|P62241|P84098|Q9Y3U8|P61927|P61247|P62861|P46776|P18077|P62753|P62847|P68104|P62857|P47914|P62269|P62081|P42766|P62891|P62277|P62279|P62829|P62945|P62244|P08708|P62910|Q02543|Q07020|P62701|P62913|P05388|P46781|P61513|P62263|P62906|P61313|P15880|P25398|P61353|P46783|Q02878|P63220|P46778|P35268|P60866|P62280|P63244|P83731|P62273|P08865|P23396|P46779|P30050|P46782|P26373|P62424|P62750|P62854|P62851|P62890|P62888|P18124|P49207|P62899|P63173|P46777|P62249|P62841|P61254|P50914|P39023,6139|6133|6134|23521|6223|6232|6233|6124|6202|6143|25873|6167|6189|2197|6157|6165|6194|6229|1915|6234|6159|6222|6201|11224|6170|6207|9349|6171|6210|6218|6161|6142|6141|6191|6135|6175|6203|6168|6208|4736|6138|6187|6206|6155|6204|6128|6227|6144|6146|6224|6205|10399|6152|6235|3921|6188|6158|6136|6193|6137|6130|6147|6231|6230|6156|6129|6164|6160|6169|6125|6217|6209|6154|9045|6122,37020024,10.1038/s41586-023-05908-w,PMC10156603,35776674,"Holm M, Natchiar KS, Rundlet EJ, Myasnikov AG, Altman RB, Blanchard SC. mRNA decoding in human is kinetically and structurally distinct from bacteria (GA state 2). 2023 Apr 19;(). doi: 10.2210/pdb8g6j/pdb."
0,8G61,mRNA decoding in human is kinetically and structurally distinct from bacteria (AC state),ELECTRON MICROSCOPY,ZN|K|SPD|3H3|MET|ANM|PUT|MG,"",85325327|1102|813|32051|888|253602|1045|6137,P18621|P32969|P27635|P40429|P39019|P42677|P62979|P36578|P62241|P84098|Q9Y3U8|P61927|P61247|P62861|P46776|P18077|P62753|P62847|P62857|P47914|P62269|P62081|P42766|P62891|P62277|P62279|P62829|P62945|P62244|P08708|P62910|Q02543|Q07020|P62701|P62913|P46781|P61513|P62263|P62906|P61313|P15880|P25398|P61353|P46783|Q02878|P63220|P46778|P35268|P60866|P62280|P63244|P83731|P62273|P08865|P23396|P46779|P62424|P46782|P26373|P62750|P62854|P62890|P62888|P62851|P18124|P49207|P62899|P63173|P46777|P62249|P62841|P61254|P50914|P39023,6139|6133|6134|23521|6223|6232|6233|6124|6202|6143|25873|6167|6189|2197|6157|6165|6194|6229|6234|6159|6222|6201|11224|6170|6207|9349|6171|6210|6218|6161|6142|6141|6191|6135|6203|6168|6208|4736|6138|6187|6206|6155|6204|6128|6227|6144|6146|6224|6205|10399|6152|6235|3921|6188|6158|6130|6193|6137|6147|6231|6156|6230|6129|6164|6160|6169|6125|6217|6209|6154|9045|6122,37020024,10.1038/s41586-023-05908-w,PMC10156603,35776674,"Holm M, Natchiar KS, Rundlet EJ, Myasnikov AG, Altman RB, Blanchard SC. mRNA decoding in human is kinetically and structurally distinct from bacteria (GA state 2). 2023 Apr 19;(). doi: 10.2210/pdb8g6j/pdb."
2.7,3CC4,Co-crystal Structure of Anisomycin Bound to the 50S Ribosomal Subunit,X-RAY DIFFRACTION,SR|CD|CL|NA|ANM|MG|K,"",31193|813|312|888|253602|104798|923,P10971|P10970|P12735|P14124|P12737|P12736|P20279|P20276|P12734|P32410|P14123|P60617|P14121|P14122|P22452|P12743|P14135|P12732|P12733|P18138|P29198|P14116|P14119|P60619|P10972|P60618|P22450|P15825|P32411,40152572|40152560|40152382|64823135|40152561|40152384,18455733,10.1016/j.jmb.2008.03.075,PMC2442718,21414932,"Blaha G, Gürel G, Schroeder SJ, Moore PB, Steitz TA. Mutations Outside the Anisomycin-Binding Site Can Make Ribosomes Drug-Resistant. Journal of Molecular Biology. 2008 Jun;379(3):505–19. doi: 10.1016/j.jmb.2008.03.075."
2.77,7Q0P,Structure of the Candida albicans 80S ribosome in complex with anisomycin,ELECTRON MICROSCOPY,ZN|ANM|SPD,"",1102|32051|253602,A0A1D8PK40|Q5A900|A0A1D8PL99|A0A1D8PSK2|Q5ALV6|A0A1D8PCQ5|A0A1D8PK61|Q5AJ93|P83774|A0A1D8PF08|A0A1D8PFL9|A0A1D8PPS1|A0A1D8PP14|Q5A6R1|A0A1D8PEV4|A0A1D8PTR4|A0A1D8PDU3|A0A1D8PL68|A0A1D8PDL6|A0A1D8PN83|A0A1D8PG16|A0A1D8PH21|A0A1D8PSV5|A0A1D8PGY8|A0A1D8PDT4|A0A1D8PSC5|A0A1D8PFG4|P40910|Q59LS1|Q5A109|P9WER7|A0A1D8PCX8|A0A1D8PHH4|A0A1D8PCI6|A0A1D8PDZ1|Q96W54|P0CU35|Q5AIB8|A0A1D8PCW6|A0A1D8PCG7|Q5A389|A0A1D8PK30|A0A1D8PFV1|Q5ANA1|Q59TE0|A0A1D8PDT3|A0A1D8PQQ5|A0A1D8PF45|A0A1D8PF57|Q5ADQ6|A0A1D8PI15|A0A1D8PGY0|A0A1D8PM75|A0A1D8PNQ6|A0A1D8PPE0|A0A1D8PPT5|O42817|Q5AGZ7|A0A1D8PK43|A0A1D8PTI7|A0A1D8PEY9|A0A1D8PHW1|Q5AB87|A0A1D8PQN0|A0A1D8PM41|O59931|A0A1D8PPN6|Q5AG43|A0A1D8PK22|A0A1D8PLC9|A0A1D8PK71|Q59T44|A0A1D8PHF5|Q5A6A1|Q5AEN2|Q5A7K0,3635257|3640242|3635701|30515390|3635787|30514969|30515208|3636573|3645907|30515049|30515072|30515338|30515319|3641025|30515041|30515442|3639515|30515232|30515000|30515301|30515082|3647299|30515104|30515007|30515386|30515062|3636924|3647719|3642934|30514975|30515127|3640195|30515014|30514981|3636850|30514974|30514961|3642071|30515207|3643347|3635198|3645439|30515006|3637953|30515053|30515048|3638438|30515149|3637400|30515273|3646972|30515328|3647558|3643678|3637057|3635156|30515429|30515044|3643489|3639338|30515349|30515267|3636841|30515335|3637700|3635194|3635615|30515205|3645565|30515120|3641174|3638348|3640568,35613268,10.1126/sciadv.abn1062,PMC9132455,34085486,"Zgadzay Y, Kolosova O, Stetsenko A, Wu C, Bruchlen D, Usachev K, Validov S, Jenner L, Rogachev A, Yusupova G, Sachs MS, Guskov A, Yusupov M. E-site drug specificity of the human pathogen Candida albicans ribosome. Sci Adv. 2022 May 27;8(21):eabn1062. PMID: 35613268; PMCID: PMC9132455."
3,4U3M,Crystal structure of Anisomycin bound to the yeast 80S ribosome,X-RAY DIFFRACTION,OHX|ANM|ZN|MG,"",253602|32051|888|49795048,P38701|P14120|P10664|P39939|P05750|P05317|Q12690|P26786|P0CX38|P0CX37|P05738|Q08745|P0CX87|P0CX86|P0CX42|P0CX41|P87262|P48589|P0CX31|P0CX32|P35997|P05743|P26321|P0CX50|P0CX49|P05744|P0CX29|P0CX30|P36105|P26784|P0CX85|P0CX84|P0C2H8|P05759|P14126|P05737|P04650|P38061|P0CX51|P0CX52|P33442|P0CX82|P0CX83|P05745|P0CX45|P0CX46|P39015|P0CX27|P0CX28|P05756|P0CX48|P0CX47|P0CX39|P0CX40|P05749|Q3E792|P02406|P17076|P0CX36|P0CX35|P0CX26|P0CX25|P0C0W1|P32905|P05747|Q02753|P26783|P49167|P0C2H6|P46784|Q01855|P0CX55|P0CX56|P0C0V8|P49166|P04456|P05740|P25443|P41805|P41057|P0CX33|P0CX34|P04449|P0CH08|P0CG74|P0CH09|P06367|P02407|P38011|Q3E7X9|P0CX24|P0CX23|O13516|Q3E757|P07280|P05748|Q02326,856371|852853|852319|856868|855543|851052|851477|854263|852479|856015|852730|854468|851344|852191|856784|854551|856805|853700|851058|855972|854029|855960|853015|853864|854673|851336|851484|850864|854229|852804|853250|852185|855174|851162|852379|855232|850590|850843|855560|851636|851589|852206|850750|852911|852775|856352|853610|856156|853249|853128|850592|852489|853587|851035|856401|855270|854117|852061|853931|850882|853993|853674|852754|850764|851104|850994|852852|854658|850397|854984|855143|854338|855283|856024|852976|854028|850716|854902,25209664,10.1038/nature13737,"",2699140,"Garreau de Loubresse N, Prokhorova I, Holtkamp W, Rodnina MV, Yusupova G, Yusupov M. Structural basis for the inhibition of the eukaryotic ribosome. Nature. 2014 Sep 10;513(7519):517–22. doi: 10.1038/nature13737."
3.01,1K73,Co-crystal Structure of Anisomycin Bound to the 50S Ribosomal Subunit,X-RAY DIFFRACTION,CD|CL|NA|ANM|MG|K,"",31193|813|312|888|253602|923,P10971|P10970|P12735|P14124|P12737|P12736|P20279|P20276|P12734|P32410|P14123|P60617|P14121|P22452|P12743|P14135|P12732|P12733|P18138|P29198|P14116|P14119|P60619|P10972|P60618|P22450|P15825|P32411,40152572|40152560|64823135|40152561|40152384,12860128,10.1016/s0022-2836(03)00668-5,"",2272769,"Hansen JL, Moore PB, Steitz TA. Structures of five antibiotics bound at the peptidyl transferase center of the large ribosomal subunit. J Mol Biol. 2003 Jul 25;330(5):1061–75. doi: 10.1016/s0022-2836(03)00668-5. PMID: 12860128."
3.1,5FCJ,Structure of the anisomycin-containing uL3 W255C mutant 80S yeast ribosome,X-RAY DIFFRACTION,OHX|ANM|ZN|MG,"",253602|32051|888|49795048,P38701|P0C0V8|P0CX29|P0CX30|P10664|P14120|P04456|P0CX82|P0CX83|P39939|P49166|P05740|P05317|P05750|P05745|P0CX45|P0CX46|P26786|P39015|Q12690|P0CX27|P0CX28|P05756|P0CX38|P0CX37|P25443|P0CX48|P0CX47|P0CX39|P0CX40|P26784|P05738|P05749|P36105|Q08745|Q3E792|P41805|P0CX87|P0CX86|P02406|P41057|P0CX50|P0CX49|P0CX42|P0CX41|P17076|P0CX33|P0CX34|P04449|P0CX85|P0CX84|P0CH08|P0CG74|P0CH09|P05759|P06367|P02407|P0C2H8|P0CX36|P0CX35|P0CX26|P0CX25|P0C0W1|P32905|P38011|Q3E7X9|P0CX24|P0CX23|P14126|P87262|O13516|P05737|P33442|P48589|P04650|P05747|Q02753|P38061|P0CX31|P0CX32|P35997|P0CX51|P0CX52|P26783|P49167|P0C2H6|P05743|P07280|P26321|P05748|Q02326|Q01855|P0CX55|P0CX56|P0C0W9|P05744,856371|853931|853015|852319|852853|853993|852379|856868|850882|853674|851052|855543|855232|850590|854263|850843|851477|855560|851636|852479|856015|852754|851589|852206|854673|852730|850750|853864|854468|852911|850764|851344|852775|851104|854029|852191|856352|850994|852852|851336|854658|850397|854984|851484|853610|856156|853249|850864|853128|855143|854338|855283|854229|856784|856024|852804|851162|854551|853250|850592|852489|852185|856805|853700|855174|853587|851035|856401|851058|854028|855972|850716|854902|854117|852061|856217|855960,26906928,10.1016/j.jmb.2016.02.013,PMC5331904,23045510,"Mailliot J, Garreau de Loubresse N, Yusupova G, Meskauskas A, Dinman JD, Yusupov M. Crystal Structures of the uL3 Mutant Ribosome: Illustration of the Importance of Ribosomal Proteins for Translation Efficiency. Journal of Molecular Biology. 2016 May;428(10):2195–202. doi: 10.1016/j.jmb.2016.02.013."
