resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations
1.5,6V0X,Crystal structure of the bromodomain of human BRD9 bound to sunitinib,X-RAY DIFFRACTION,B49,"",5329102,Q9H8M2,65980,32091206,10.1021/acs.jmedchem.9b01980,PMC7771325,25775016,"Karim RM, Chan A, Zhu J, Schönbrunn E. Structural Basis of Inhibitor Selectivity in the BRD7/9 Subfamily of Bromodomains. J. Med. Chem. 2020 Feb 24;63(6):3227–37. doi: 10.1021/acs.jmedchem.9b01980."
1.6,3G0E,KIT kinase domain in complex with sunitinib,X-RAY DIFFRACTION,B49,"",5329102,P10721|3G0E_A|3G0F_A,3815,19164557,10.1073/pnas.0812413106,PMC2635778,16016459,"Gajiwala KS, Wu JC, Christensen J, Deshmukh GD, Diehl W, DiNitto JP, English JM, Greig MJ, He YA, Jacques SL, Lunney EA, McTigue M, Molina D, Quenzer T, Wells PA, Yu X, Zhang Y, Zou A, Emmett MR, Marshall AG, Zhang HM, Demetri GD. KIT kinase mutants show unique mechanisms of drug resistance to imatinib and sunitinib in gastrointestinal stromal tumor patients. Proc Natl Acad Sci U S A. 2009 Feb 03;106(5):1542–7. PMID: 19164557; PMCID: PMC2635778."
1.67,3MIY,X-ray crystal structure of ITK complexed with sunitinib,X-RAY DIFFRACTION,B49,"",5329102,Q08881|1SM2_A|3QGW_A|4HCT_A|3MIY_A|3V5J_A|3T9T_A,3702,20545945,10.1111/j.1747-0285.2010.00993.x,"",20778778,"Kutach AK, Villaseñor AG, Lam D, Belunis C, Janson C, Lok S, Hong LN, Liu CM, Deval J, Novak TJ, Barnett JW, Chu W, Shaw D, Kuglstatter A. Crystal structures of IL-2-inducible T cell kinase complexed with inhibitors: insights into rational drug design and activity regulation. Chem Biol Drug Des. 2010 Aug;76(2):154–63. doi: 10.1111/j.1747-0285.2010.00993.x. PMID: 20545945."
1.88,4QMZ,MST3 IN COMPLEX WITH SUNITINIB,X-RAY DIFFRACTION,CL|B49,"",5329102|312,Q9Y6E0,8428,27135311,10.1002/cmdc.201600115,PMC7771544,521367,"Olesen SH, Zhu JY, Martin MP, Schönbrunn E. Discovery of Diverse Small-Molecule Inhibitors of Mammalian Sterile20-like Kinase 3 (MST3). ChemMedChem. 2016 Jun 06;11(11):1137–44. PMID: 27135311; PMCID: PMC7771544."
1.95,4KS8,PAK6 kinase domain in complex with sunitinib,X-RAY DIFFRACTION,B49,"",5329102,Q9NQU5,106821730|56924,24204982,10.1371/journal.pone.0077818,PMC3810134,18816721,"Gao J, Ha BH, Lou HJ, Morse EM, Zhang R, Calderwood DA, Turk BE, Boggon TJ. Substrate and Inhibitor Specificity of the Type II p21-Activated Kinase, PAK6. PLoS ONE. 2013 Oct 28;8(10):e77818. doi: 10.1371/journal.pone.0077818."
1.99,3TI1,CDK2 in complex with SUNITINIB,X-RAY DIFFRACTION,EDO|B49,"",5329102|174,1B38_A|1OIR_A|P24941|4ERW_A|2UZB_A|2IW8_A|3EZR_A|2R3I_A|3PXF_A|1OGU_A|2IW6_A|1OIT_A|3MY5_A|1E9H_A|1H01_A|1PF8_A|2DS1_A|1H1P_A|4I3Z_A|1P5E_A|1VYW_A,1017,22893598,10.1002/cbic.201200316,PMC3483082,10681282,"Martin MP, Alam R, Betzi S, Ingles DJ, Zhu JY, Schönbrunn E. A novel approach to the discovery of small-molecule ligands of CDK2. Chembiochem. 2012 Sep 24;13(14):2128–36. PMID: 22893598; PMCID: PMC3483082."
2.05,6NG0,"Crystal structure of HPK1 kinase domain T165E,S171E phosphomimetic mutant in complex with sunitinib in the inactive state.",X-RAY DIFFRACTION,B49,"",5329102,Q92918,11184,31018963,10.1074/jbc.ac119.007466,PMC6556572,33127730,"Johnson E, McTigue M, Gallego RA, Johnson TW, Timofeevski S, Maestre M, Fisher TS, Kania R, Sawasdikosol S, Burakoff S, Cronin CN. Multiple conformational states of the HPK1 kinase domain in complex with sunitinib reveal the structural changes accompanying HPK1 trans-regulation. Journal of Biological Chemistry. 2019 Jun;294(23):9029–36. doi: 10.1074/jbc.ac119.007466."
2.17,6NFY,"Crystal structure of nonphosphorylated, HPK1 kinase domain in complex with sunitinib in the inactive state.",X-RAY DIFFRACTION,B49,"",5329102,Q92918,11184,31018963,10.1074/jbc.ac119.007466,PMC6556572,33127730,"Johnson E, McTigue M, Gallego RA, Johnson TW, Timofeevski S, Maestre M, Fisher TS, Kania R, Sawasdikosol S, Burakoff S, Cronin CN. Multiple conformational states of the HPK1 kinase domain in complex with sunitinib reveal the structural changes accompanying HPK1 trans-regulation. Journal of Biological Chemistry. 2019 Jun;294(23):9029–36. doi: 10.1074/jbc.ac119.007466."
2.46,6M11,Crystal structure of Rnase L in complex with Sunitinib,X-RAY DIFFRACTION,PO4|25A|B49,"",1061|5329102|449135,"","",32830849,10.1042/bcj20200260,"",8869763,"Tang J, Wang Y, Zhou H, Ye Y, Talukdar M, Fu Z, Liu Z, Li J, Neculai D, Gao J, Huang H. Sunitinib inhibits RNase L by destabilizing its active dimer conformation. Biochem J. 2020 Sep 18;477(17):3387–99. doi: 10.1042/bcj20200260. PMID: 32830849."
2.5,2Y7J,"Structure of human phosphorylase kinase, gamma 2",X-RAY DIFFRACTION,B49,"",5329102,P15735,5261,"","","","",""
