3QG2_1|Chains,gb|UXQ07712.1|,dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],0.0,1247,99.836,608,source_file
pdb|3JSU|A,Chain A, Dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],0.0,1246.0,100.0,608.0,3QG2_pdb_hits.csv
gb|UXQ07708.1|,dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],0.0,1246.0,99.836,608.0,,3QG2_pdb_hits.csv
gb|UXQ07895.1|,dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],0.0,1246.0,99.671,608.0,,3QG2_pdb_hits.csv
gb|UXQ07872.1|,dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],0.0,1244.0,99.671,608.0,,3QG2_pdb_hits.csv
gb|UXQ07931.1|,dihydrofolate reductase-thymidylate synthase, partial [Plasmodium falciparum],0.0,1244.0,99.671,608.0,3QG2_pdb_hits.csv
gb|UXQ07835.1|,dihydrofolate reductase-thymidylate synthase, partial [Plasmodium falciparum],0.0,1244.0,100.0,607.0,3QG2_pdb_hits.csv
gb|UXQ07888.1|,dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],0.0,1244.0,99.835,607.0,,3QG2_pdb_hits.csv
gb|UXQ07862.1|,dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],0.0,1244.0,99.671,608.0,,3QG2_pdb_hits.csv
gb|UXQ07810.1|,dihydrofolate reductase-thymidylate synthase, partial [Plasmodium falciparum],0.0,1244.0,99.836,608.0,3QG2_pdb_hits.csv
