resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations
1.3,4KM0,Crystal structure of dihydrofolate reductase from Mycobacterium tuberculosis in complex with pyrimethamine,X-RAY DIFFRACTION,CP6|ATR,"",165230|4993,P9WNX1,887777,24210757,10.1016/j.str.2013.09.022,"",14754884,"Dias MV, Tyrakis P, Domingues RR, Paes Leme AF, Blundell TL. Mycobacterium tuberculosis dihydrofolate reductase reveals two conformational states and a possible low affinity mechanism to antifolate drugs. Structure. 2014 Jan 07;22(1):94–103. doi: 10.1016/j.str.2013.09.022. PMID: 24210757."
1.34,7OPJ,Trypanosoma brucei PTR1 (TbPTR1) in complex with pyrimethamine,X-RAY DIFFRACTION,CP6|ACT|GOL|NAP,"",175|5885|4993|753,"","",34209148,10.3390/ph14070636,PMC8308740,2003728,"Tassone G, Landi G, Linciano P, Francesconi V, Tonelli M, Tagliazucchi L, Costi MP, Mangani S, Pozzi C. Evidence of Pyrimethamine and Cycloguanil Analogues as Dual Inhibitors of Trypanosoma brucei Pteridine Reductase and Dihydrofolate Reductase. Pharmaceuticals (Basel). 2021 Jun 30;14(7). PMID: 34209148; PMCID: PMC8308740."
1.561,6NNI,Structure of closed state of Dihydrofolate reductase from Mycobacterium tuberculosis in complex with NADPH and pyrimethamine,X-RAY DIFFRACTION,CP6|SO4|CO|NDP|MES,"",104729|78165|4993|5884|1117,P9WNX1,887777,31282477,10.1107/s205979831900901x,"",8832062,"Ribeiro JA, Chavez-Pacheco SM, de Oliveira GS, Silva CDS, Giudice JHP, Libreros-Zúñiga GA, Dias MVB. Crystal structures of the closed form of Mycobacterium tuberculosis dihydrofolate reductase in complex with dihydrofolate and antifolates. Acta Crystallogr D Struct Biol. 2019 Jul 01;75(Pt 7):682–93. doi: 10.1107/s205979831900901x. PMID: 31282477."
1.7,8A0Z,Crystal structure of Candida auris dihydrofolate reductase complexed with NADPH and pyrimethamine,X-RAY DIFFRACTION,NO3|NDP|EPE|CP6,"",23830|943|4993|5884,"","","","","","",""
1.9,2BL9,X-ray crystal structure of Plasmodium vivax dihydrofolate reductase in complex with pyrimethamine and its derivative,X-RAY DIFFRACTION,CP6|NDP,"",4993|5884,O02604,"",16135570,10.1073/pnas.0501747102,PMC1201571,14627357,"Kongsaeree P, Khongsuk P, Leartsakulpanich U, Chitnumsub P, Tarnchompoo B, Walkinshaw MD, Yuthavong Y. Crystal structure of dihydrofolate reductase from <i>Plasmodium vivax</i> : Pyrimethamine displacement linked with mutation-induced resistance. Proc. Natl. Acad. Sci. U.S.A. 2005 Aug 31;102(37):13046–51. doi: 10.1073/pnas.0501747102."
2.15,7FGW,"Toxoplasma gondii dihydrofolate reductase thymidylate synthase (TgDHFR-TS) complexed with pyrimethamine, NADPH and dUMP",X-RAY DIFFRACTION,CP6|BEN|NDP|UMP,"",65063|2332|4993|5884,Q07422,"",35715223,10.1021/acschembio.1c00627,"",34159256,"Vanichtanankul J, Yoomuang A, Taweechai S, Saeyang T, Pengon J, Yuvaniyama J, Tarnchompoo B, Yuthavong Y, Kamchonwongpaisan S. Structural Insight into Effective Inhibitors' Binding to Toxoplasma gondii Dihydrofolate Reductase Thymidylate Synthase. ACS Chem Biol. 2022 Jul 15;17(7):1691–702. doi: 10.1021/acschembio.1c00627. PMID: 35715223."
2.2,3QFX,Trypanosoma brucei dihydrofolate reductase pyrimethamine complex,X-RAY DIFFRACTION,CP6|NDP,"",4993|5884,Q27783,"",21650210,10.1021/cb200124r,"",32257272,"Vanichtanankul J, Taweechai S, Yuvaniyama J, Vilaivan T, Chitnumsub P, Kamchonwongpaisan S, Yuthavong Y. Trypanosomal dihydrofolate reductase reveals natural antifolate resistance. ACS Chem Biol. 2011 Sep 16;6(9):905–11. doi: 10.1021/cb200124r. PMID: 21650210."
2.3,1J3J,"Double mutant (C59R+S108N) Plasmodium falciparum dihydrofolate reductase-thymidylate synthase (PfDHFR-TS) complexed with pyrimethamine, NADPH, and dUMP",X-RAY DIFFRACTION,CP6|NDP|UMP,"",65063|4993|5884,P13922,"",12704428,10.1038/nsb921,"",255272,"Yuvaniyama J, Chitnumsub P, Kamchonwongpaisan S, Vanichtanankul J, Sirawaraporn W, Taylor P, Walkinshaw MD, Yuthavong Y. Insights into antifolate resistance from malarial DHFR-TS structures. Nature Structural & Molecular Biology. 2003 Apr 21;10(5):357–65. doi: 10.1038/nsb921."
2.3,3QG2,"Plasmodium falciparum DHFR-TS qradruple mutant (N51I+C59R+S108N+I164L, V1/S) pyrimethamine complex",X-RAY DIFFRACTION,CP6|NDP|UMP,"",65063|4993|5884,"","",21650210,10.1021/cb200124r,"",32257272,"Vanichtanankul J, Taweechai S, Yuvaniyama J, Vilaivan T, Chitnumsub P, Kamchonwongpaisan S, Yuthavong Y. Trypanosomal dihydrofolate reductase reveals natural antifolate resistance. ACS Chem Biol. 2011 Sep 16;6(9):905–11. doi: 10.1021/cb200124r. PMID: 21650210."
2.3,3QGT,"Crystal structure of Wild-type PfDHFR-TS COMPLEXED WITH NADPH, dUMP AND PYRIMETHAMINE",X-RAY DIFFRACTION,CP6|NDP|UMP,"",65063|4993|5884,"","",21650210,10.1021/cb200124r,"",32257272,"Vanichtanankul J, Taweechai S, Yuvaniyama J, Vilaivan T, Chitnumsub P, Kamchonwongpaisan S, Yuthavong Y. Trypanosomal dihydrofolate reductase reveals natural antifolate resistance. ACS Chem Biol. 2011 Sep 16;6(9):905–11. doi: 10.1021/cb200124r. PMID: 21650210."
2.4,3UM5,"Double mutant (A16V+S108T) Plasmodium falciparum dihydrofolate reductase-thymidylate synthase (PfDHFR-TS-T9/94) complexed with pyrimethamine, NADPH, and dUMP",X-RAY DIFFRACTION,CP6|NDP|UMP,"",65063|4993|5884,"","",22526319,10.1128/aac.00301-12,PMC3393428,18768490,"Vanichtanankul J, Taweechai S, Uttamapinant C, Chitnumsub P, Vilaivan T, Yuthavong Y, Kamchonwongpaisan S. Combined spatial limitation around residues 16 and 108 of Plasmodium falciparum dihydrofolate reductase explains resistance to cycloguanil. Antimicrob Agents Chemother. 2012 Jul;56(7):3928–35. PMID: 22526319; PMCID: PMC3393428."
