8GDB_2|Chain,gb|AAP93837.1|,COPI protein [Plasmodium falciparum],1.39e-18,86.7,25.275,273
8GDB_2|Chain,pir|JC7987|,receptor for activated C kinase, RACK protein - Plasmodium falciparum [Plasmodium falciparum],5.44e-18,83.2,27.948,229
8GDB_2|Chain,pir|JC7987|,receptor for activated C kinase, RACK protein - Plasmodium falciparum [Plasmodium falciparum],1.60e-17,82.0,25.954,262
8GDB_2|Chain,pir|JC7987|,receptor for activated C kinase, RACK protein - Plasmodium falciparum [Plasmodium falciparum],3.72e-15,75.1,25.926,270
8GDB_4|Chain,pdb|8EZL|H,Chain H, Transmission-reducing antibody AS01-50, single chain Fv [Plasmodium falciparum],2.35e-22,88.6,43.511,131
8GDB_4|Chain,pdb|8EZL|H,Chain H, Transmission-reducing antibody AS01-50, single chain Fv [Plasmodium falciparum],3.95e-06,44.3,27.679,112
