8GDC_1|Chain,sp|Q94650.3|,RecName: Full=ADP-ribosylation factor 1; Short=plARF [Plasmodium falciparum],2.42e-06,47.0,29.897,97
8GDC_2|Chain,gb|AAP93837.1|,COPI protein [Plasmodium falciparum],2.40e-18,86.3,24.265,272
8GDC_2|Chain,pir|JC7987|,receptor for activated C kinase, RACK protein - Plasmodium falciparum [Plasmodium falciparum],6.90e-18,83.2,27.948,229
8GDC_2|Chain,pir|JC7987|,receptor for activated C kinase, RACK protein - Plasmodium falciparum [Plasmodium falciparum],1.89e-17,81.6,25.954,262
8GDC_2|Chain,pir|JC7987|,receptor for activated C kinase, RACK protein - Plasmodium falciparum [Plasmodium falciparum],3.75e-15,75.1,25.926,270
