resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations,pubchem_cid
0.0,8G6J,mRNA decoding in human is kinetically and structurally distinct from bacteria (GA state 2),ELECTRON MICROSCOPY,HMT|ZN|K|SPD|PHE|YRB|MET|PUT|MG|3HE|GSP,,6197|1102|285033|135398675|813|32051|888|1045|6140|167714258|6137,P18621|P32969|P27635|P40429|P39019|P42677|P62979|P36578|P62241|P84098|Q9Y3U8|P61927|P61247|P62861|P46776|P18077|P62753|P62847|P68104|P62857|P47914|P62269|P62081|P42766|P62891|P62277|P62279|P62829|P62945|P62244|P08708|P62910|Q02543|Q07020|P62701|P62913|P05388|P46781|P61513|P62263|P62906|P61313|P15880|P25398|P61353|P46783|Q02878|P63220|P46778|P35268|P60866|P62280|P63244|P83731|P62273|P08865|P23396|P46779|P30050|P46782|P62424|P62750|P62854|P62890|P62888|P62851|P18124|P49207|P62899|P63173|P46777|P62249|P62841|P61254|P50914|P39023,6139|6133|6134|23521|6223|6232|6233|6124|6202|6143|25873|6167|6189|2197|6157|6165|6194|6229|1915|6234|6159|6222|6201|11224|6170|6207|9349|6171|6210|6218|6161|6142|6141|6191|6135|6175|6203|6168|6208|4736|6138|6187|6206|6155|6204|6128|6227|6144|6146|6224|6205|10399|6152|6235|3921|6188|6158|6136|6193|6130|6147|6231|6156|6230|6129|6164|6160|6169|6125|6217|6209|6154|9045|6122,37020024.0,10.1038/s41586-023-05908-w,PMC10156603,35776674.0,"Holm M, Natchiar KS, Rundlet EJ, Myasnikov AG, Altman RB, Blanchard SC. mRNA decoding in human is kinetically and structurally distinct from bacteria (GA state 2). 2023 Apr 19;(). doi: 10.2210/pdb8g6j/pdb.",285033
1.67,8A3D,Human mature large subunit of the ribosome with eIF6 and homoharringtonine bound,ELECTRON MICROSCOPY,MG|NA|EPE|SPM|K|ZN|HMT,,23830|285033|813|32051|888|1103|923,P83881|P46779|P83731|P61927|P18077|P46778|Q9Y3U8|P27635|P46776|P46777|P62829|P62750|P61313|P62910|P40429|P62913|P62424|P61353|P63173|P39023|Q02543|P49207|P62917|P56537|Q02878|P47914|P26373|P18124|P32969|P62891|P36578|P84098|P61254|P35268|Q07020|P61513|P18621|P62890|P62888|P62899,6173|6158|6152|6167|6165|6144|25873|6134|6157|6125|9349|6147|6138|6161|23521|6135|6130|6155|6169|6122|6142|6164|6132|3692|6128|6159|6137|6129|6133|6170|6124|6143|6154|6146|6141|6168|6139|6156|6160,,,,,,285033
2.7,3G6E,Co-crystal structure of Homoharringtonine bound to the large ribosomal subunit,X-RAY DIFFRACTION,SR|CD|CL|NA|HMT|MG|K,,31193|285033|813|312|888|104798|923,P10971|P10970|P12735|P14124|P12737|P12736|P20279|P20276|P12734|P32410|P14123|P60617|P14121|P14122|P22452|P12743|P14135|P12732|P12733|P18138|P29198|P14116|P14119|P60619|P10972|P60618|P22450|P15825|P32411,40152572|40152560|40152382|64823135|40152561|40152384,19362093.0,10.1016/j.jmb.2009.04.005,PMC2682339,30226713.0,"Gurel G, Blaha G, Moore PB, Steitz TA: U2504 determines the species specificity of the A-site cleft antibiotics: the structures of tiamulin, homoharringtonine, and bruceantin bound to the ribosome. J Mol Biol. 2009 May 29;389(1):146-56. doi: 10.1016/j.jmb.2009.04.005. Epub 2009  Apr 9.",285033
2.9,6QZP,High-resolution cryo-EM structure of the human 80S ribosome,ELECTRON MICROSCOPY,HYG|HMT|ZN|MG,,32051|888|285033|24875318,P39023|P62861|P62857|P42766|P62750|P62753|P62851|P62277|P62279|P83881|P61353|P62910|P62945|P61247|P62829|P40429|P62854|P63220|P62891|P63244|P62890|P62888|P47914|P62917|P62979|P63173|P62273|P50914|Q96L21|Q9Y3U8|P49207|P61254|P42677|P62241|P46781|P46782|P35268|P18621|P62244|P62847|Q02543|P62263|P62280|P62987|P39019|P46783|P62701|P61313|P26373|P62424|P62266|P83731|Q07020|P84098|Q02878|P62899|P23396|P61927|P62913|P61513|P18124|P15880|P60866|P62081|P18077|P46778|P62906|P62841|P62249|P08865|P32969|P08708|P25398|P46779|P62269|P36578|P46777|P46776,6122|2197|6234|11224|6147|6194|6230|6207|6173|6155|6161|6171|6189|9349|23521|6231|6227|6170|10399|6156|6159|6132|6233|6169|6235|9045|140801|25873|6164|6154|6232|6202|6203|6193|6146|6139|6210|6229|6142|6208|6205|7311|6223|6204|6191|6138|6137|6130|6228|6152|6141|6143|6128|6160|6188|6167|6135|6168|6129|6187|6224|6201|6165|6144|4736|6209|6217|3921|6133|6218|6206|6158|6222|6124|6125|6157,29143818.0,10.1038/nature24482,,11453255.0,"Natchiar SK, Myasnikov AG, Kratzat H, Hazemann I, Klaholz BP. Visualization of chemical modifications in the human 80S ribosome structure. Nature. 2017 Nov 23;551(7681):472–7. doi: 10.1038/nature24482. PMID: 29143818.",285033
2.96,8UIK,In situ HHT and CHX treated human 80S ribosome with EBP1 (consensus map),ELECTRON MICROSCOPY,3HE|MG|HMT|ZN,,6197|32051|888|285033,P46777|P62249|P08865|P32969|P46783|P39019|P62082|P62424|P49207|P46779|P23396|P62266|P61927|P26373|P61254|Q96L21|P62891|P62979|P60866|P25398|Q02543|P36578|P62917|P50914|P18124|P61313|P47914|P42677|P46782|Q9UQ80|P18077|P62753|P62913|P62241|P46776|P84098|P62854|P05388|P62890|P62888|P62861|P62987|P08708|P46781|P39023|P15880|P62269|P62829|P61513|P62244|Q9Y3U8|P62750|P62847|P62899|P62277|P62279|P62857|P62263|P83881|P18621|P63220|P61353|Q07020|P40429|P63173|P42766|P62701|P62945|Q02878|P62851|P63244|P46778|P61247|P62841|P62273|P62910|P62280,6125|6217|3921|6133|6204|6223|20115|6130|6164|6158|6188|6228|6167|6137|6154|140801|6170|6233|6224|6206|6142|6124|6132|9045|6129|6138|6159|6232|6193|5036|6165|6194|6135|6202|6157|6143|6231|6175|6156|2197|7311|6218|6203|6122|6187|6222|9349|6168|6210|25873|6147|6229|6160|6207|6234|6208|6173|6139|6227|6155|6141|23521|6169|11224|6191|6171|6128|6230|10399|6144|6189|6209|6235|6161|6205,,,,,,285033
2.99,7EWH,Crystal structure of human PHGDH in complex with Homoharringtonine,X-RAY DIFFRACTION,HMT,,285033,O43175,26227,,,,,,285033
3.0,4U4Q,Crystal structure of Homoharringtonine bound to the yeast 80S ribosome,X-RAY DIFFRACTION,OHX|ZN|MG|HMT,,32051|888|285033|49795048,P38701|P0C0V8|P0CX29|P0CX30|P10664|P14120|P04456|P0CX82|P0CX83|P39939|P49166|P05740|P05317|P05750|P05745|P0CX45|P0CX46|P26786|P39015|Q12690|P0CX27|P0CX28|P05756|P0CX38|P0CX37|P25443|P0CX48|P0CX47|P0CX39|P0CX40|P26784|P05738|P05749|P36105|Q08745|Q3E792|P41805|P0CX87|P0CX86|P02406|P41057|P0CX50|P0CX49|P0CX42|P0CX41|P17076|P0CX33|P0CX34|P04449|P0CX85|P0CX84|P0CH08|P0CG74|P0CH09|P05759|P06367|P02407|P0C2H8|P0CX36|P0CX35|P0CX26|P0CX25|P0C0W1|P32905|P38011|Q3E7X9|P0CX24|P0CX23|P14126|P87262|O13516|P05737|P33442|Q3E757|P48589|P04650|P05747|Q02753|P38061|P0CX31|P0CX32|P35997|P0CX51|P0CX52|P26783|P49167|P0C2H6|P05743|P07280|P26321|P05748|Q02326|Q01855|P0CX55|P0CX56|P05744,856371|853931|853015|852319|852853|853993|852379|856868|850882|853674|851052|855543|855232|850590|854263|850843|851477|855560|851636|852479|856015|852754|851589|852206|854673|852730|850750|853864|854468|852911|850764|851344|852775|851104|854029|852191|856352|850994|852852|851336|854658|850397|854984|851484|853610|856156|853249|850864|853128|855143|854338|855283|854229|856784|856024|852804|851162|852976|854551|853250|850592|852489|852185|856805|853700|855174|853587|851035|856401|851058|854028|855972|850716|854902|854117|852061|855960,25209664.0,10.1038/nature13737,,2699140.0,"Garreau de Loubresse N, Prokhorova I, Holtkamp W, Rodnina MV, Yusupova G, Yusupov M. Structural basis for the inhibition of the eukaryotic ribosome. Nature. 2014 Sep 10;513(7519):517–22. doi: 10.1038/nature13737.",285033
3.05,8UKB,In situ HHT and CHX treated human hibernating state without E-tRNA 80S ribosome,ELECTRON MICROSCOPY,ZN|WV3|MG|HMT,,2900|32051|888|285033,P26373|P63220|P62899|P62979|P61313|P62750|P15880|P47914|P62277|P62279|P39023|P62945|P46779|P62424|P49207|P84098|P23396|P63244|P18077|P62081|P63173|P62266|P62841|P62244|P62829|P46783|P40429|P08865|P46782|P42766|P60866|Q07020|Q9Y3U8|P46776|P61353|P62861|P62917|P62241|P62891|P62906|P42677|Q02543|P46777|P46781|P62910|P05388|P62273|P62890|P62888|P62987|P50914|P62249|P46778|Q96L21|P61247|Q02878|P62280|P18621|P61927|P62854|P08708|P62857|P62913|P25398|P62851|P62753|P13639|P62701|P36578|P18124|P61254|P32969|P62847|P62263|P39019|P62269|P83881|P61513,6137|6227|6160|6233|6138|6147|6187|6159|6207|6122|6171|6158|6130|6164|6143|6188|10399|6165|6201|6169|6228|6209|6210|9349|6204|23521|3921|6193|11224|6224|6141|25873|6157|6155|2197|6132|6202|6170|4736|6232|6142|6125|6203|6161|6175|6235|6156|7311|9045|6217|6144|140801|6189|6128|6205|6139|6167|6231|6218|6234|6135|6206|6230|6194|1938|6191|6124|6129|6154|6133|6229|6208|6223|6222|6173|6168,,,,,,285033
3.54,8UJK,In situ HHT and CHX treated A-P-Z state 80S ribosome,ELECTRON MICROSCOPY,MG|3HE|HMT|ZN,,6197|32051|888|285033,P62857|P18124|P46779|P47914|P61353|P46783|P62701|P62851|P46778|P62249|P18077|P62979|P62241|P61927|P63173|P62753|P46781|P62899|P08865|Q96L21|P62890|P62888|P39019|P46782|P08708|P32969|P62917|P39023|P62277|P62279|P05388|P61254|P63220|Q02878|P62280|P62945|P26373|P62269|P23396|P62244|P62263|P30050|P62847|P46776|Q9Y3U8|P40429|P36578|P62854|P62266|P62273|P62861|P62987|Q02543|P49207|P25398|P63244|P62829|P83881|P62910|P84098|P62424|P62841|P46777|P62081|P42766|P62906|P60866|P61313|P62891|P62913|P15880|P61513|P50914|P42677|P62750|P61247|P18621|Q07020,6234|6129|6158|6159|6155|6204|6191|6230|6144|6217|6165|6233|6202|6167|6169|6194|6203|6160|3921|140801|6156|6223|6193|6218|6133|6132|6122|6207|6175|6154|6227|6128|6205|6171|6137|6222|6188|6210|6208|6136|6229|6157|25873|23521|6124|6231|6228|6235|2197|7311|6142|6164|6206|10399|9349|6173|6161|6143|6130|6209|6125|6201|11224|4736|6224|6138|6170|6135|6187|6168|9045|6232|6147|6189|6139|6141,,,,,,285033
3.56,8UJJ,In situ HHT and CHX treated A-P state 80S ribosome,ELECTRON MICROSCOPY,MG|3HE|HMT|ZN,,6197|32051|888|285033,P62857|P18124|P46779|P47914|P61353|P46783|P62701|P62851|P46778|P62249|P18077|P62979|P62241|P61927|P63173|P62753|P46781|P62899|P08865|Q96L21|P62890|P62888|P39019|P46782|P08708|P32969|P62917|P39023|P62277|P62279|P05388|P61254|P63220|Q02878|P62280|P62945|P26373|P62269|P23396|P62244|P62263|P30050|P62847|P46776|Q9Y3U8|P40429|P36578|P62854|P62266|P62273|P62861|P62987|Q02543|P49207|P25398|P63244|P62829|P83881|P62910|P84098|P62424|P62841|P46777|P62081|P42766|P62906|P60866|P61313|P62891|P62913|P15880|P61513|P50914|P42677|P62750|P61247|P18621|Q07020,6234|6129|6158|6159|6155|6204|6191|6230|6144|6217|6165|6233|6202|6167|6169|6194|6203|6160|3921|140801|6156|6223|6193|6218|6133|6132|6122|6207|6175|6154|6227|6128|6205|6171|6137|6222|6188|6210|6208|6136|6229|6157|25873|23521|6124|6231|6228|6235|2197|7311|6142|6164|6206|10399|9349|6173|6161|6143|6130|6209|6125|6201|11224|4736|6224|6138|6170|6135|6187|6168|9045|6232|6147|6189|6139|6141,,,,,,285033
