query_chain,subject_id,subject_chain,subject_function,e_value,bit_score,percent_identity,alignment_length
8SSP_1|Chain,pdb|4RGJ|A,Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],1.83e-49,171.0,35.227,264.0
8SSP_1|Chain,emb|CAA68090.1|,CDPK2 [Plasmodium falciparum],7.70e-49,169.0,35.606,264.0,
8SSP_1|Chain,gb|AAT06260.1|,protein kinase B-like protein [Plasmodium falciparum],2.73e-48,166.0,34.328,268.0,
8SSP_1|Chain,gb|AAF99562.1|,cAMP-dependent protein kinase [Plasmodium falciparum],7.36e-47,159.0,33.209,268.0,
8SSP_1|Chain,emb|CAA47704.1|,protein kinase [Plasmodium falciparum],4.86e-42,150.0,32.014,278.0,
8SSP_1|Chain,pdb|5DYK|A,Chain A, CGMP-dependent protein kinase [Plasmodium falciparum],2.5e-40,148.0,31.939,263.0
8SSP_1|Chain,emb|CAA80490.1|,serine/threonine-protein kinase [Plasmodium falciparum],2.56e-37,139.0,29.084,251.0,
8SSP_1|Chain,pdb|1V0B|A,Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],4.7800000000000003e-35,127.0,30.556,288.0
8SSP_1|Chain,pdb|1V0O|A,Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],4.98e-35,127.0,30.556,288.0
8SSP_1|Chain,pdb|1OB3|A,Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],5.48e-35,127.0,30.556,288.0
