4TVA_1|Chain,gb|WGL14830.1|,phenylalanine-tRNA ligase [Plasmodium falciparum],1.05e-36,139,25.867,375,source_file
pdb|7DPI|A,Chain A, Phenylalanine--tRNA ligase [Plasmodium falciparum],1.61e-36,133.0,29.474,285.0,4TVA_pdb_hits.csv
gb|WGL14847.1|,phenylalanine-tRNA ligase [Plasmodium falciparum],2.00e-36,138.0,25.867,375.0,,4TVA_pdb_hits.csv
gb|WGL14859.1|,phenylalanine-tRNA ligase, partial [Plasmodium falciparum],2.01e-36,138.0,25.867,375.0,4TVA_pdb_hits.csv
gb|WGL14858.1|,phenylalanine-tRNA ligase [Plasmodium falciparum],2.02e-36,138.0,25.6,375.0,,4TVA_pdb_hits.csv
gb|WGL14832.1|,phenylalanine-tRNA ligase [Plasmodium falciparum],2.08e-36,138.0,25.867,375.0,,4TVA_pdb_hits.csv
gb|WGL14840.1|,phenylalanine-tRNA ligase [Plasmodium falciparum],3.09e-36,137.0,29.474,285.0,,4TVA_pdb_hits.csv
gb|WGL14860.1|,phenylalanine-tRNA ligase [Plasmodium falciparum],3.22e-36,137.0,29.474,285.0,,4TVA_pdb_hits.csv
gb|WGL14834.1|,phenylalanine-tRNA ligase [Plasmodium falciparum],3.38e-36,137.0,29.474,285.0,,4TVA_pdb_hits.csv
gb|WGL14841.1|,phenylalanine-tRNA ligase [Plasmodium falciparum],3.42e-36,137.0,29.474,285.0,,4TVA_pdb_hits.csv
