query_chain,subject_id,subject_chain,subject_function,e_value,bit_score,percent_identity,alignment_length
8G6J_12|Chain,gb|AAC98504.1|,ribosomal protein, partial [Plasmodium falciparum],1.0099999999999999e-45,146.0,67.647,102.0
8G6J_36|Chain,gb|AAA29781.1|,ubiquitin, partial [Plasmodium falciparum],2.4399999999999997e-24,89.7,95.349,43.0
8G6J_36|Chain,gb|AAA29781.1|,ubiquitin, partial [Plasmodium falciparum],2e-17,72.0,97.222,36.0
8G6J_46|Chain,emb|CAE84233.1|,ribosomal phosphoprotein, partial [Plasmodium falciparum],2e-91,274.0,48.897,272.0
8G6J_46|Chain,emb|CAF18552.1|,ribosomal phosphoprotein, partial [Plasmodium falciparum],5.95e-91,273.0,48.897,272.0
8G6J_46|Chain,gb|AAD10140.1|,acidic ribosomal phosphoprotein PO [Plasmodium falciparum],9.23e-83,252.0,45.597,318.0,
8G6J_46|Chain,emb|CAA50532.1|,protective antigen, partial [Plasmodium falciparum],3.04e-11,58.5,56.0,50.0
8G6J_67|Chain,emb|CAA82284.2|,Ag15 [Plasmodium falciparum],1.10e-17,72.8,49.587,121.0,
8G6J_67|Chain,gb|AAA70296.1|,15 kDa vesicular-like antigen [Plasmodium falciparum],4.42e-14,63.2,54.167,96.0,
8G6J_79|Chain,gb|AAA29781.1|,ubiquitin, partial [Plasmodium falciparum],1.09e-24,89.4,97.619,42.0
8G6J_79|Chain,gb|AAA29781.1|,ubiquitin, partial [Plasmodium falciparum],8.2e-18,72.0,97.222,36.0
8G6J_20|Chain,emb|CAA64591.1|,rps12 [Plasmodium falciparum],1.43e-09,52.4,37.662,77.0,
8G6J_37|Chain,pir|JC7987|,receptor for activated C kinase, RACK protein - Plasmodium falciparum [Plasmodium falciparum],4.0800000000000005e-129,370.0,59.236,314.0
8G6J_37|Chain,pir|JC7987|,receptor for activated C kinase, RACK protein - Plasmodium falciparum [Plasmodium falciparum],3.6e-08,53.9,26.316,228.0
8G6J_37|Chain,gb|AAP93837.1|,COPI protein [Plasmodium falciparum],6.14e-13,69.3,30.709,127.0,
8G6J_37|Chain,gb|AAP93837.1|,COPI protein [Plasmodium falciparum],9.28e-09,56.2,25.258,194.0,
8G6J_86|Chain,gb|AVN98121.1|,elongation factor-1 alpha [Plasmodium falciparum],0.0,659.0,68.928,457.0,
8G6J_86|Chain,emb|CAA43018.1|,EF-1 alpha [Plasmodium falciparum],0.0,650.0,67.615,457.0,
8G6J_86|Chain,emb|CAA60960.1|,tufA, partial [Plasmodium falciparum],4.91e-32,126.0,29.217,332.0
8G6J_86|Chain,gb|ACR77661.1|,TetQ GTPase [Plasmodium falciparum],3.53e-08,55.8,29.167,120.0,
8G6J_86|Chain,gb|ACR77670.1|,TetQ GTPase [Plasmodium falciparum],3.55e-08,55.8,29.167,120.0,
8G6J_86|Chain,gb|ACR77699.1|,TetQ GTPase [Plasmodium falciparum],3.55e-08,55.8,29.167,120.0,
8G6J_86|Chain,gb|ACR77697.1|,TetQ GTPase [Plasmodium falciparum],3.55e-08,55.8,29.167,120.0,
8G6J_86|Chain,gb|ACR77648.1|,TetQ GTPase [Plasmodium falciparum],3.56e-08,55.8,29.167,120.0,
8G6J_86|Chain,gb|ACR77686.1|,TetQ GTPase [Plasmodium falciparum],3.62e-08,55.8,29.167,120.0,
8G6J_86|Chain,gb|ACR77693.1|,TetQ GTPase [Plasmodium falciparum],3.64e-08,55.8,29.167,120.0,
