9M1H_2|Chain,sp|Q94650.3|,RecName: Full=ADP-ribosylation factor 1; Short=plARF [Plasmodium falciparum],2.55e-07,50.1,31.034,87
9M1H_2|Chain,gb|AAB03195.1|,ADP-ribosylation factor 1 [Plasmodium falciparum],4.94e-07,49.3,31.034,87
9M1H_2|Chain,gb|AAF06723.1|,small GTP-binding protein [Plasmodium falciparum],7.93e-07,48.9,27.184,103
9M1H_3|Chain,gb|AAP93837.1|,COPI protein [Plasmodium falciparum],1.42e-18,86.7,25.641,273
9M1H_3|Chain,pir|JC7987|,receptor for activated C kinase, RACK protein - Plasmodium falciparum [Plasmodium falciparum],5.19e-18,83.2,27.948,229
9M1H_3|Chain,pir|JC7987|,receptor for activated C kinase, RACK protein - Plasmodium falciparum [Plasmodium falciparum],1.60e-17,82.0,25.954,262
9M1H_3|Chain,pir|JC7987|,receptor for activated C kinase, RACK protein - Plasmodium falciparum [Plasmodium falciparum],3.38e-15,75.1,25.926,270
