query_id,subject_id,subject_description,e_value,bit_score,percent_identity,alignment_length
1TCO_1|Chain,gb|AAM54063.1|,protein phosphatase type 1 [Plasmodium falciparum],1.7500000000000002e-73,230.0,44.444,252
1TCO_1|Chain,gb|AAC47800.1|,protein phosphatase-beta [Plasmodium falciparum],1.95e-67,219.0,43.214,280
1TCO_1|Chain,gb|AAK95648.1|,serine/threonine protein phosphatase PfPP5 [Plasmodium falciparum],6.51e-58,197.0,39.13,253
1TCO_1|Chain,gb|AAL15170.1|,serine/threonine protein phosphatase PP5 [Plasmodium falciparum],1.57e-57,196.0,39.13,253
1TCO_1|Chain,gb|AAC69437.1|,protein serine/threonine phosphatase alpha [Plasmodium falciparum],3.6e-43,160.0,35.563,284
1TCO_1|Chain,gb|AAF19176.1|,PP1-like protein serine/threonine phosphatase [Plasmodium falciparum],1.4900000000000002e-32,123.0,32.031,256
1TCO_2|Chain,sp|P24044.4|,RecName: Full=Calmodulin [Plasmodium falciparum],1.21e-21,85.1,35.762,151
1TCO_2|Chain,gb|AAA29509.1|,calmodulin [Plasmodium falciparum],7.07e-20,80.5,36.0,150
1TCO_2|Chain,emb|CAA68090.1|,CDPK2 [Plasmodium falciparum],2.3e-08,52.0,26.531,147
1TCO_2|Chain,emb|CAA47704.1|,protein kinase [Plasmodium falciparum],1.14e-06,47.0,30.719,153
