5AQZ_1|Chain,prf||1408240A,heat shock protein [Plasmodium falciparum],0.0,611,77.719,377
5AQZ_1|Chain,sp|P11144.2|,RecName: Full=Heat shock 70 kDa protein; Short=HSP70; AltName: Full=74.3 kDa protein; AltName: Full=Cytoplasmic antigen [Plasmodium falciparum],0.0,611,77.719,377
5AQZ_1|Chain,emb|CAA48873.1|,heat shock protein [Plasmodium falciparum],3.32e-169,488,59.948,382
5AQZ_1|Chain,gb|AAA29623.1|,heat-shock protein [Plasmodium falciparum],2.51e-163,473,58.701,385
5AQZ_1|Chain,gb|AAC47838.1|,CG4 [Plasmodium falciparum],7.48e-51,182,29.454,421
5AQZ_1|Chain,emb|CAA30367.1|,hsp70-like protein, partial [Plasmodium falciparum],8.01e-41,140,51.587,126
5AQZ_1|Chain,gb|AAA29501.1|,BiP, partial [Plasmodium falciparum],3.99e-07,50.8,66.667,30
5AQZ_1|Chain,sp|P12794.1|,RecName: Full=Endoplasmic reticulum chaperone BIP; AltName: Full=78 kDa glucose-regulated protein homolog; Short=GRP-78 homolog; Short=Pfgrp; AltName: Full=Binding-immunoglobulin protein homolog; Short=BiP; AltName: Full=Heat shock protein 70-2; Short=Pfhsp70-2 [Plasmodium falciparum],4.18e-07,50.8,66.667,30
5AQZ_1|Chain,gb|AAC12678.1|,beta-galactosidase, partial [Plasmodium falciparum],1.95e-06,48.9,81.481,27
