query_chain,subject_id,subject_chain,subject_function,e_value,bit_score,percent_identity,alignment_length
5AP7_1|Chain,pdb|1V0B|A,Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],2.58e-21,91.3,28.378,296.0
5AP7_1|Chain,pdb|1V0O|A,Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],2.6300000000000002e-21,91.3,28.378,296.0
5AP7_1|Chain,pdb|1OB3|A,Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],4.13e-21,90.9,28.041,296.0
5AP7_1|Chain,emb|CAA47704.1|,protein kinase [Plasmodium falciparum],1.18e-20,92.0,26.299,308.0,
5AP7_1|Chain,emb|CAA68090.1|,CDPK2 [Plasmodium falciparum],1.73e-20,91.3,26.596,282.0,
5AP7_1|Chain,emb|CAA57972.1|,mitogen-activated protein kinase 1, serine/threonine protein kinase [Plasmodium falciparum],2.78e-18,85.1,29.085,306.0
5AP7_1|Chain,gb|AAC47170.1|,mitogen-activated protein kinase-related protein [Plasmodium falciparum],2.88e-18,85.1,29.085,306.0,
5AP7_1|Chain,pdb|3NIE|A,Chain A, MAP2 kinase [Plasmodium falciparum],1.56e-15,76.3,31.873,251.0
5AP7_1|Chain,gb|AAT06260.1|,protein kinase B-like protein [Plasmodium falciparum],2.15e-14,73.2,25.597,293.0,
5AP7_1|Chain,pdb|4RGJ|A,Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],3.6e-14,72.4,25.087,287.0
