query_chain,subject_id,subject_chain,subject_function,e_value,bit_score,percent_identity,alignment_length
8G5Y_12|Chain,gb|AAC98504.1|,ribosomal protein, partial [Plasmodium falciparum],1.0099999999999999e-45,146.0,67.647,102.0
8G5Y_20|Chain,emb|CAA64591.1|,rps12 [Plasmodium falciparum],1.43e-09,52.4,37.662,77.0,
8G5Y_37|Chain,pir|JC7987|,receptor for activated C kinase, RACK protein - Plasmodium falciparum [Plasmodium falciparum],4.0800000000000005e-129,370.0,59.236,314.0
8G5Y_37|Chain,pir|JC7987|,receptor for activated C kinase, RACK protein - Plasmodium falciparum [Plasmodium falciparum],3.6e-08,53.9,26.316,228.0
8G5Y_37|Chain,gb|AAP93837.1|,COPI protein [Plasmodium falciparum],6.14e-13,69.3,30.709,127.0,
8G5Y_37|Chain,gb|AAP93837.1|,COPI protein [Plasmodium falciparum],9.28e-09,56.2,25.258,194.0,
8G5Y_65|Chain,emb|CAA82284.2|,Ag15 [Plasmodium falciparum],1.10e-17,72.8,49.587,121.0,
8G5Y_65|Chain,gb|AAA70296.1|,15 kDa vesicular-like antigen [Plasmodium falciparum],4.42e-14,63.2,54.167,96.0,
8G5Y_36|Chain,gb|AAA29781.1|,ubiquitin, partial [Plasmodium falciparum],2.4399999999999997e-24,89.7,95.349,43.0
8G5Y_36|Chain,gb|AAA29781.1|,ubiquitin, partial [Plasmodium falciparum],2e-17,72.0,97.222,36.0
8G5Y_77|Chain,gb|AAA29781.1|,ubiquitin, partial [Plasmodium falciparum],1.09e-24,89.4,97.619,42.0
8G5Y_77|Chain,gb|AAA29781.1|,ubiquitin, partial [Plasmodium falciparum],8.2e-18,72.0,97.222,36.0
8G5Y_83|Chain,gb|AAM46152.1|,eukaryotic translation initiation factor 5A [Plasmodium falciparum],5.68e-59,180.0,54.375,160.0,
