query_chain,subject_id,subject_chain,subject_function,e_value,bit_score,percent_identity,alignment_length
7L7B_2|Chain,emb|CAA36427.1|,RNA polymerase beta subunit (697 AA), partial [Plasmodium falciparum],9.86e-78,271.0,26.167,707.0
7L7B_2|Chain,emb|CAA53232.1|,beta subunit RNA polymerase [Plasmodium falciparum],4.82e-77,276.0,26.685,712.0,
7L7B_3|Chain,emb|CAA64573.1|,rpoC [Plasmodium falciparum],3.74e-78,268.0,29.138,580.0,
7L7B_3|Chain,emb|CAA36428.1|,RNA polymerase beta-prime subunit (AA 1- 462), partial [Plasmodium falciparum],6.390000000000001e-72,247.0,30.983,468.0
7L7B_3|Chain,emb|CAA34560.1|,unnamed protein product [Plasmodium falciparum],1.23e-35,147.0,27.103,428.0,
7L7B_3|Chain,emb|CAA34560.1|,unnamed protein product [Plasmodium falciparum],7.40e-10,63.5,55.102,49.0,
7L7B_3|Chain,emb|CAA34560.1|,unnamed protein product [Plasmodium falciparum],1.11e-07,56.2,25.108,231.0,
7L7B_3|Chain,emb|CAA64574.1|,rpoD [Plasmodium falciparum],6.05e-29,125.0,24.915,293.0,
7L7B_3|Chain,emb|CAA64574.1|,rpoD [Plasmodium falciparum],3.61e-11,67.4,28.058,139.0,
7L7B_3|Chain,gb|AAA72349.1|,unnamed protein product [Plasmodium falciparum],5.42e-19,93.6,29.362,235.0,
7L7B_3|Chain,gb|AAA72349.1|,unnamed protein product [Plasmodium falciparum],3.58e-09,61.2,48.077,52.0,
7L7B_3|Chain,sp|P27625.1|,RecName: Full=DNA-directed RNA polymerase III subunit RPC1; Short=RNA polymerase III subunit C1; AltName: Full=DNA-directed RNA polymerase III largest subunit; AltName: Full=RNA polymerase III subunit C160 [Plasmodium falciparum],6.35e-18,90.1,39.623,106.0,
7L7B_3|Chain,sp|P27625.1|,RecName: Full=DNA-directed RNA polymerase III subunit RPC1; Short=RNA polymerase III subunit C1; AltName: Full=DNA-directed RNA polymerase III largest subunit; AltName: Full=RNA polymerase III subunit C160 [Plasmodium falciparum],2.94e-13,74.7,25.786,318.0,
7L7B_3|Chain,sp|P27625.1|,RecName: Full=DNA-directed RNA polymerase III subunit RPC1; Short=RNA polymerase III subunit C1; AltName: Full=DNA-directed RNA polymerase III largest subunit; AltName: Full=RNA polymerase III subunit C160 [Plasmodium falciparum],4.35e-12,70.9,59.574,47.0,
7L7B_3|Chain,sp|P27625.1|,RecName: Full=DNA-directed RNA polymerase III subunit RPC1; Short=RNA polymerase III subunit C1; AltName: Full=DNA-directed RNA polymerase III largest subunit; AltName: Full=RNA polymerase III subunit C160 [Plasmodium falciparum],4.62e-10,64.3,25.112,223.0,
