7CX2_3|Chain,gb|AAP93837.1|,COPI protein [Plasmodium falciparum],2.62e-18,86.3,24.265,272
7CX2_3|Chain,pir|JC7987|,receptor for activated C kinase, RACK protein - Plasmodium falciparum [Plasmodium falciparum],7.74e-18,82.8,27.948,229
7CX2_3|Chain,pir|JC7987|,receptor for activated C kinase, RACK protein - Plasmodium falciparum [Plasmodium falciparum],2.14e-17,81.6,25.954,262
7CX2_3|Chain,pir|JC7987|,receptor for activated C kinase, RACK protein - Plasmodium falciparum [Plasmodium falciparum],4.36e-15,75.1,25.926,270
7CX2_5|Chain,pdb|8EZL|H,Chain H, Transmission-reducing antibody AS01-50, single chain Fv [Plasmodium falciparum],2.35e-22,88.6,43.511,131
7CX2_5|Chain,pdb|8EZL|H,Chain H, Transmission-reducing antibody AS01-50, single chain Fv [Plasmodium falciparum],3.95e-06,44.3,27.679,112
