query_chain,subject_id,subject_chain,subject_function,e_value,bit_score,percent_identity,alignment_length
3Q70_1|Chain,pdb|1LEE|A,Chain A, Plasmepsin 2 [Plasmodium falciparum],9.16e-26,105,27.545,334
3Q70_1|Chain,pdb|3F9Q|A,Chain A, Plasmepsin-2 [Plasmodium falciparum],1.17e-25,104,27.246,334
3Q70_1|Chain,pdb|1ME6|A,Chain A, Plasmepsin II [Plasmodium falciparum],1.51e-25,104,27.545,334
3Q70_1|Chain,pdb|1LF3|A,Chain A, plasmepsin 2 [Plasmodium falciparum],1.71e-25,104,27.545,334
3Q70_1|Chain,pdb|5BWY|A,Chain A, Plasmepsin-2 [Plasmodium falciparum],3.6e-25,104,27.545,334
3Q70_1|Chain,pdb|1PFZ|A,Chain A, Proplasmepsin Ii [Plasmodium falciparum],4.75e-25,103,27.545,334
3Q70_1|Chain,pdb|2BJU|A,Chain A, Plasmepsin Ii [Plasmodium falciparum],1.05e-24,103,27.545,334
3Q70_1|Chain,gb|AAW71452.1|,plasmepsin 2, partial [Plasmodium falciparum],1.05e-24,103,27.545,334
3Q70_1|Chain,gb|AAA68217.1|,aspartic proteinase, partial [Plasmodium falciparum],1.1399999999999999e-24,103,27.545,334
3Q70_1|Chain,gb|AAW71449.1|,plasmepsin 2, partial [Plasmodium falciparum],1.85e-24,103,27.545,334
