4U0I_1|Chain,gb|AAL54911.1|,sexual stage-specific protein kinase [Plasmodium falciparum],1.70e-19,89.0,29.114,237
4U0I_1|Chain,gb|AAF99562.1|,cAMP-dependent protein kinase [Plasmodium falciparum],6.91e-18,82.8,27.941,272
4U0I_1|Chain,pdb|4RGJ|A,Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],7.38e-12,65.5,25.664,226
4U0I_1|Chain,gb|AAT06260.1|,protein kinase B-like protein [Plasmodium falciparum],2.18e-10,60.8,23.592,284
4U0I_1|Chain,emb|CAA47704.1|,protein kinase [Plasmodium falciparum],9.20e-09,56.2,25.000,308
4U0I_1|Chain,gb|AAC47170.1|,mitogen-activated protein kinase-related protein [Plasmodium falciparum],2.99e-08,54.7,24.180,244
4U0I_1|Chain,emb|CAA57972.1|,mitogen-activated protein kinase 1, serine/threonine protein kinase [Plasmodium falciparum],4.91e-08,53.9,24.180,244
4U0I_1|Chain,pdb|1V0O|A,Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],2.15e-07,51.2,28.800,125
4U0I_1|Chain,pdb|5DYK|A,Chain A, CGMP-dependent protein kinase [Plasmodium falciparum],2.23e-07,52.0,33.696,92
4U0I_1|Chain,pdb|1V0B|A,Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],2.49e-07,50.8,28.800,125
