query_chain,subject_id,subject_chain,subject_function,e_value,bit_score,percent_identity,alignment_length
8C2Z_1|Chain,pdb|8RPC|A,Chain A, non-specific serine/threonine protein kinase [Plasmodium falciparum],1.42e-41,149.0,31.347,386.0
8C2Z_1|Chain,gb|AAK38173.1|,protein serine/threonine kinase-1 [Plasmodium falciparum],5.50e-32,127.0,26.844,339.0,
8C2Z_1|Chain,emb|CAA57972.1|,mitogen-activated protein kinase 1, serine/threonine protein kinase [Plasmodium falciparum],5.24e-29,118.0,27.273,352.0
8C2Z_1|Chain,gb|AAC47170.1|,mitogen-activated protein kinase-related protein [Plasmodium falciparum],2.74e-28,116.0,27.273,352.0,
8C2Z_1|Chain,pdb|1OB3|A,Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],1.4500000000000002e-27,109.0,27.3,337.0
8C2Z_1|Chain,pdb|1V0B|A,Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],2.1e-27,109.0,27.003,337.0
8C2Z_1|Chain,pdb|1V0O|A,Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],2.21e-27,109.0,27.003,337.0
8C2Z_1|Chain,emb|CAA56732.1|,cdc2-related protein kinase 1 [Plasmodium falciparum],2.32e-25,107.0,32.463,268.0,
8C2Z_1|Chain,gb|AAD55782.1|,MO15-related protein kinase Pfmrk [Plasmodium falciparum],7.26e-23,97.4,29.249,253.0,
8C2Z_1|Chain,gb|AAC61592.1|,cdk-related protein kinase 6 [Plasmodium falciparum],9.20e-23,96.7,28.274,336.0,
