target,malaria,target_renamed,malaria_renamed,T-cid,M-cid,T-lig,M-lig,T-gene,M-gene,pubchem_cid,smiles,blast_evalue,blast_alignment_length,blast_bit_score,blast_percent_identity,ligand_D,M_D_align_evalue,M_D_rmsd,M_D_align_len,3d_align_evalue,3d_rmsd,3d_align_len
1C14,3AM3,1C14_renamed.pdb,3AM3_renamed.pdb,A,A,,,,,,,6.74e-20,237,87.0,25.738,,,,,,,
1C14,1UH5,1C14_renamed.pdb,1UH5_renamed.pdb,A,A,,,,,,,2.78e-19,237,85.5,25.316,,,,,,,
1C14,2OL4,1C14_renamed.pdb,2OL4_renamed.pdb,A,A,,,,,,,7.72e-19,237,84.3,24.051,,,,,,,
1C14,1VRW,1C14_renamed.pdb,1VRW_renamed.pdb,A,A,,,,,,,8.04e-19,237,84.0,24.051,,,,,,,
1C14,3AM5,1C14_renamed.pdb,3AM5_renamed.pdb,A,A,,,,,,,1.37e-18,237,83.6,25.316,,,,,,,
1C14,1NHG,1C14_renamed.pdb,1NHG_renamed.pdb,A,A,,,,,,,2.72e-14,141,70.1,29.078,,,,,,,
1D7O,3AM3,1D7O_renamed.pdb,3AM3_renamed.pdb,A,A,,,,,,,3.62e-102,321,301.0,47.975,,,,,,,
1D7O,3AM5,1D7O_renamed.pdb,3AM5_renamed.pdb,A,A,,,,,,,4.78e-101,321,298.0,47.664,,,,,,,
1D7O,1UH5,1D7O_renamed.pdb,1UH5_renamed.pdb,A,A,,,,,,,6.21e-101,321,298.0,47.664,,,,,,,
1D7O,2OL4,1D7O_renamed.pdb,2OL4_renamed.pdb,A,A,,,,,,,6.69e-101,321,298.0,47.664,,,,,,,
1D7O,1VRW,1D7O_renamed.pdb,1VRW_renamed.pdb,A,A,,,,,,,6.77e-101,321,298.0,47.664,,,,,,,
1D7O,1NHG,1D7O_renamed.pdb,1NHG_renamed.pdb,A,A,,,,,,,2.14e-88,225,263.0,55.111,,,,,,,
1D7O,1NHG,1D7O_renamed.pdb,1NHG_renamed.pdb,A,C,,,,,,,3.53e-12,53,60.5,54.717,,,,,,,
1D8A,3AM3,1D8A_renamed.pdb,3AM3_renamed.pdb,A,A,,,,,,,6.04e-20,237,87.0,25.738,,,,,,,
1D8A,1UH5,1D8A_renamed.pdb,1UH5_renamed.pdb,A,A,,,,,,,2.51e-19,237,85.5,25.316,,,,,,,
1D8A,2OL4,1D8A_renamed.pdb,2OL4_renamed.pdb,A,A,,,,,,,7.8e-19,237,84.3,24.051,,,,,,,
1D8A,1VRW,1D8A_renamed.pdb,1VRW_renamed.pdb,A,A,,,,,,,7.96e-19,237,84.0,24.051,,,,,,,
1D8A,3AM5,1D8A_renamed.pdb,3AM5_renamed.pdb,A,A,,,,,,,1.37e-18,237,83.2,25.316,,,,,,,
1D8A,1NHG,1D8A_renamed.pdb,1NHG_renamed.pdb,A,A,,,,,,,2.81e-14,141,69.7,29.078,,,,,,,
1P45,3AM3,1P45_renamed.pdb,3AM3_renamed.pdb,A,A,,,,,,,3.27e-09,183,56.2,27.322,,,,,,,
1P45,1NHG,1P45_renamed.pdb,1NHG_renamed.pdb,A,A,,,,,,,3.85e-09,180,55.5,27.222,,,,,,,
1P45,1UH5,1P45_renamed.pdb,1UH5_renamed.pdb,A,A,,,,,,,4.69e-09,183,55.8,27.322,,,,,,,
1P45,1VRW,1P45_renamed.pdb,1VRW_renamed.pdb,A,A,,,,,,,7.98e-09,83,55.1,38.554,,,,,,,
1P45,2OL4,1P45_renamed.pdb,2OL4_renamed.pdb,A,A,,,,,,,8.03e-09,83,55.1,38.554,,,,,,,
1P45,3AM5,1P45_renamed.pdb,3AM5_renamed.pdb,A,A,,,,,,,2.19e-08,183,53.9,27.322,,,,,,,
1QG6,3AM3,1QG6_renamed.pdb,3AM3_renamed.pdb,A,A,,,,,,,6.04e-20,237,87.0,25.738,,,,,,,
1QG6,1UH5,1QG6_renamed.pdb,1UH5_renamed.pdb,A,A,,,,,,,2.51e-19,237,85.5,25.316,,,,,,,
1QG6,2OL4,1QG6_renamed.pdb,2OL4_renamed.pdb,A,A,,,,,,,7.8e-19,237,84.3,24.051,,,,,,,
1QG6,1VRW,1QG6_renamed.pdb,1VRW_renamed.pdb,A,A,,,,,,,7.96e-19,237,84.0,24.051,,,,,,,
1QG6,3AM5,1QG6_renamed.pdb,3AM5_renamed.pdb,A,A,,,,,,,1.37e-18,237,83.2,25.316,,,,,,,
1QG6,1NHG,1QG6_renamed.pdb,1NHG_renamed.pdb,A,A,,,,,,,2.81e-14,141,69.7,29.078,,,,,,,
1QSG,3AM3,1QSG_renamed.pdb,3AM3_renamed.pdb,A,A,,,,,,,6.82e-20,237,87.0,25.738,,,,,,,
1QSG,1UH5,1QSG_renamed.pdb,1UH5_renamed.pdb,A,A,,,,,,,3.19e-19,237,85.1,25.316,,,,,,,
1QSG,2OL4,1QSG_renamed.pdb,2OL4_renamed.pdb,A,A,,,,,,,8.35e-19,237,84.3,24.051,,,,,,,
1QSG,1VRW,1QSG_renamed.pdb,1VRW_renamed.pdb,A,A,,,,,,,9.04e-19,237,84.0,24.051,,,,,,,
1QSG,3AM5,1QSG_renamed.pdb,3AM5_renamed.pdb,A,A,,,,,,,1.79e-18,237,83.2,25.316,,,,,,,
1QSG,1NHG,1QSG_renamed.pdb,1NHG_renamed.pdb,A,A,,,,,,,3.17e-14,141,69.7,29.078,,,,,,,
2B35,3AM3,2B35_renamed.pdb,3AM3_renamed.pdb,A,A,,,,,,,3.27e-09,183,56.2,27.322,,,,,,,
2B35,1NHG,2B35_renamed.pdb,1NHG_renamed.pdb,A,A,,,,,,,3.85e-09,180,55.5,27.222,,,,,,,
2B35,1UH5,2B35_renamed.pdb,1UH5_renamed.pdb,A,A,,,,,,,4.69e-09,183,55.8,27.322,,,,,,,
2B35,1VRW,2B35_renamed.pdb,1VRW_renamed.pdb,A,A,,,,,,,7.98e-09,83,55.1,38.554,,,,,,,
2B35,2OL4,2B35_renamed.pdb,2OL4_renamed.pdb,A,A,,,,,,,8.03e-09,83,55.1,38.554,,,,,,,
2B35,3AM5,2B35_renamed.pdb,3AM5_renamed.pdb,A,A,,,,,,,2.19e-08,183,53.9,27.322,,,,,,,
2BL9,1J3I,2BL9_renamed.pdb,1J3I_renamed.pdb,A,A,,,,,,,8.48e-109,237,314.0,63.713,,,,,,,
2BL9,1J3J,2BL9_renamed.pdb,1J3J_renamed.pdb,A,A,,,,,,,2.15e-108,237,313.0,63.291,,,,,,,
2BL9,1J3K,2BL9_renamed.pdb,1J3K_renamed.pdb,A,A,,,,,,,1.6499999999999998e-106,237,308.0,62.447,,,,,,,
2BLA,1J3J,2BLA_renamed.pdb,1J3J_renamed.pdb,A,A,,,,,,,1.6400000000000005e-110,237,318.0,64.557,,,,,,,
2BLA,1J3K,2BLA_renamed.pdb,1J3K_renamed.pdb,A,A,,,,,,,1.23e-108,237,313.0,63.713,,,,,,,
2BLA,1J3I,2BLA_renamed.pdb,1J3I_renamed.pdb,A,A,,,,,,,2.92e-108,237,313.0,63.713,,,,,,,
2J50,4RGJ,2J50_renamed.pdb,4RGJ_renamed.pdb,A,A,,,,,,,1.4999999999999998e-49,264,171.0,35.227,,,,,,,
2J50,5DYK,2J50_renamed.pdb,5DYK_renamed.pdb,A,A,,,,,,,4.54e-40,263,147.0,31.939,,,,,,,
2J50,1V0B,2J50_renamed.pdb,1V0B_renamed.pdb,A,A,,,,,,,5.25e-35,286,127.0,29.72,,,,,,,
2J50,1V0O,2J50_renamed.pdb,1V0O_renamed.pdb,A,A,,,,,,,5.310000000000001e-35,286,127.0,29.72,,,,,,,
2J50,1OB3,2J50_renamed.pdb,1OB3_renamed.pdb,A,A,,,,,,,6.620000000000001e-35,286,127.0,29.72,,,,,,,
2O2S,2OL4,2O2S_renamed.pdb,2OL4_renamed.pdb,A,A,,,,,,,4.98e-101,321,300.0,47.04,,,,,,,
2O2S,1UH5,2O2S_renamed.pdb,1UH5_renamed.pdb,A,A,,,,,,,5.5000000000000004e-101,321,299.0,47.04,,,,,,,
2O2S,1VRW,2O2S_renamed.pdb,1VRW_renamed.pdb,A,A,,,,,,,5.8e-101,321,299.0,47.04,,,,,,,
2O2S,3AM3,2O2S_renamed.pdb,3AM3_renamed.pdb,A,A,,,,,,,2.1e-100,321,298.0,46.729,,,,,,,
2O2S,3AM5,2O2S_renamed.pdb,3AM5_renamed.pdb,A,A,,,,,,,4.750000000000001e-100,321,296.0,46.729,,,,,,,
2O2S,1NHG,2O2S_renamed.pdb,1NHG_renamed.pdb,A,A,,,,,,,2.83e-83,226,250.0,50.885,,,,,,,
2O2S,1NHG,2O2S_renamed.pdb,1NHG_renamed.pdb,A,C,,,,,,,2.21e-14,54,66.6,59.259,,,,,,,
2PD3,3AM3,2PD3_renamed.pdb,3AM3_renamed.pdb,A,A,,,,,,,3.26e-18,223,82.8,27.354,,,,,,,
2PD3,1UH5,2PD3_renamed.pdb,1UH5_renamed.pdb,A,A,,,,,,,4.17e-18,223,82.4,27.803,,,,,,,
2PD3,1VRW,2PD3_renamed.pdb,1VRW_renamed.pdb,A,A,,,,,,,5.11e-18,223,82.0,27.803,,,,,,,
2PD3,2OL4,2PD3_renamed.pdb,2OL4_renamed.pdb,A,A,,,,,,,5.21e-18,223,82.0,27.803,,,,,,,
2PD3,3AM5,2PD3_renamed.pdb,3AM5_renamed.pdb,A,A,,,,,,,1.72e-17,223,80.5,27.803,,,,,,,
2PD3,1NHG,2PD3_renamed.pdb,1NHG_renamed.pdb,A,A,,,,,,,1.88e-15,126,73.6,36.508,,,,,,,
2QIO,3AM3,2QIO_renamed.pdb,3AM3_renamed.pdb,A,A,,,,,,,9.17e-24,323,97.4,24.458,,,,,,,
2QIO,1VRW,2QIO_renamed.pdb,1VRW_renamed.pdb,A,A,,,,,,,1.41e-23,323,97.1,25.077,,,,,,,
2QIO,1UH5,2QIO_renamed.pdb,1UH5_renamed.pdb,A,A,,,,,,,1.42e-23,323,97.1,25.077,,,,,,,
2QIO,2OL4,2QIO_renamed.pdb,2OL4_renamed.pdb,A,A,,,,,,,1.5099999999999998e-23,323,97.1,25.077,,,,,,,
2QIO,3AM5,2QIO_renamed.pdb,3AM5_renamed.pdb,A,A,,,,,,,6.01e-23,323,95.1,25.077,,,,,,,
2QIO,1NHG,2QIO_renamed.pdb,1NHG_renamed.pdb,A,A,,,,,,,2.32e-17,226,78.2,26.549,,,,,,,
2QIO,1NHG,2QIO_renamed.pdb,1NHG_renamed.pdb,A,C,,,,,,,5.49e-06,44,42.7,40.909,,,,,,,
2VRX,4RGJ,2VRX_renamed.pdb,4RGJ_renamed.pdb,A,A,,,,,,,3.18e-49,257,170.0,35.409,,,,,,,
2VRX,5DYK,2VRX_renamed.pdb,5DYK_renamed.pdb,A,A,,,,,,,1.3700000000000002e-43,293,158.0,31.741,,,,,,,
2VRX,1V0O,2VRX_renamed.pdb,1V0O_renamed.pdb,A,A,,,,,,,1.5900000000000002e-35,288,129.0,31.597,,,,,,,
2VRX,1V0B,2VRX_renamed.pdb,1V0B_renamed.pdb,A,A,,,,,,,1.7800000000000002e-35,288,128.0,31.25,,,,,,,
2VRX,1OB3,2VRX_renamed.pdb,1OB3_renamed.pdb,A,A,,,,,,,1.8999999999999998e-35,288,128.0,31.597,,,,,,,
2WYW,3AM3,2WYW_renamed.pdb,3AM3_renamed.pdb,A,A,,,,,,,3.9099999999999997e-28,237,109.0,29.536,,,,,,,
2WYW,1UH5,2WYW_renamed.pdb,1UH5_renamed.pdb,A,A,,,,,,,4.21e-28,237,109.0,29.536,,,,,,,
2WYW,2OL4,2WYW_renamed.pdb,2OL4_renamed.pdb,A,A,,,,,,,4.39e-28,237,109.0,29.536,,,,,,,
2WYW,1VRW,2WYW_renamed.pdb,1VRW_renamed.pdb,A,A,,,,,,,5.45e-28,237,109.0,29.536,,,,,,,
2WYW,3AM5,2WYW_renamed.pdb,3AM5_renamed.pdb,A,A,,,,,,,2.24e-27,237,107.0,29.536,,,,,,,
2WYW,1NHG,2WYW_renamed.pdb,1NHG_renamed.pdb,A,A,,,,,,,2.45e-22,140,91.7,36.429,,,,,,,
2Y7J,4RGJ,2Y7J_renamed.pdb,4RGJ_renamed.pdb,A,A,,,,,,,1.1e-52,277,182.0,32.852,,,,,,,
2Y7J,5DYK,2Y7J_renamed.pdb,5DYK_renamed.pdb,A,A,,,,,,,1.03e-34,274,135.0,31.752,,,,,,,
3F4B,1VRW,3F4B_renamed.pdb,1VRW_renamed.pdb,A,A,,,,,,,4.33e-177,336,493.0,72.024,,,,,,,
3F4B,2OL4,3F4B_renamed.pdb,2OL4_renamed.pdb,A,A,,,,,,,2.93e-176,330,491.0,73.333,,,,,,,
3F4B,1UH5,3F4B_renamed.pdb,1UH5_renamed.pdb,A,A,,,,,,,2.52e-175,329,488.0,73.252,,,,,,,
3F4B,3AM3,3F4B_renamed.pdb,3AM3_renamed.pdb,A,A,,,,,,,1.79e-174,329,486.0,72.948,,,,,,,
3F4B,3AM5,3F4B_renamed.pdb,3AM5_renamed.pdb,A,A,,,,,,,1.87e-174,329,486.0,72.948,,,,,,,
